datetime,elapsed_time,test_num,test_time,power,motor_rpm,bike_kph,torque,grade,gear_ratio,control_type,chain_name,chain_length,chain_usage_s,chain_usage_revs,chain_usage_dist,chain_usage_work,treatment_name,treatment_num,treatment_usage_s,treatment_usage_revs,treatment_usage_dist,treatment_usage_work,rig_on_time
2023-04-18 11:50:57.590763,2218.303793,-1,68,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64568.71720504761,102579.80027760664,557327.0612105122,16339.876664904798,none,1,64568.71720504761,102579.80027760664,557327.0612105122,16339.876664904798,3136.0
2023-04-18 11:52:05.605612,2286.318642,13,90,300.0,100.0,32.6,28.648,1.065,2.471,brake,01-12,112,64573.15121626854,102580.53527760663,557331.0545443746,16340.14813192185,none,1,64573.15121626854,102580.53527760663,557331.0545443746,16340.14813192185,3204.0
2023-04-18 11:53:35.620870,2376.3339,-1,26,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64662.614314079285,102724.8236109403,558114.9885408086,16365.504243559326,none,1,64662.614314079285,102724.8236109403,558114.9885408086,16365.504243559326,3294.0
2023-04-18 11:54:01.639523,2402.352553,14,90,400.0,100.0,32.6,38.197,2.389,2.471,brake,01-12,112,64669.52678465843,102725.78222205146,558120.1967778299,16365.665308782893,none,1,64669.52678465843,102725.78222205146,558120.1967778299,16365.665308782893,3320.0
2023-04-18 11:55:31.640087,2492.353117,-1,42,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64758.97083353996,102870.115833163,558904.3767732882,16399.35745018683,none,1,64758.97083353996,102870.115833163,558904.3767732882,16399.35745018683,3410.0
2023-04-18 11:56:13.643288,2534.356318,15,90,500.0,100.0,32.6,47.746,3.713,2.471,brake,01-12,112,64764.436450481415,102870.94499982969,558908.8817247541,16399.55820880914,none,1,64764.436450481415,102870.94499982969,558908.8817247541,16399.55820880914,3452.0
2023-04-18 11:57:43.655318,2624.368348,-1,62,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64853.9081056118,103015.45944427405,559694.0442071157,16441.599283661897,none,1,64853.9081056118,103015.45944427405,559694.0442071157,16441.599283661897,3542.0
2023-04-18 11:58:45.664932,2686.377962,16,90,300.0,110.0,35.9,26.044,0.177,2.471,brake,01-12,112,64858.43352270126,103016.26944427405,559698.4450240248,16441.84804779041,none,1,64858.43352270126,103016.26944427405,559698.4450240248,16441.84804779041,3604.0
2023-04-18 12:00:15.667645,2776.380675,-1,25,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,64947.86521911621,103174.52249982786,560558.250854631,16467.12738569877,none,1,64947.86521911621,103174.52249982786,560558.250854631,16467.12738569877,3694.0
2023-04-18 12:00:40.677347,2801.390377,17,90,400.0,110.0,35.9,34.725,1.38,2.471,brake,01-12,112,64952.35662698746,103175.4930553834,560563.5239871001,16467.267517806824,none,1,64952.35662698746,103175.4930553834,560563.5239871001,16467.267517806824,3719.0
2023-04-18 12:02:10.692639,2891.405669,-1,39,0.0,0.0,0.0,0.0,0.0,2.471,brake,01-12,112,65041.724039554596,103333.85499982732,561423.9214227246,16500.777901376157,none,1,65041.724039554596,103333.85499982732,561423.9214227246,16500.777901376157,3809.0
2023-04-18 12:02:49.701526,2930.414556,18,90,500.0,110.0,35.9,43.406,2.584,2.471,brake,01-12,112,65046.22808480263,103334.88222204955,561429.5024312738,16500.978610514616,none,1,65046.22808480263,103334.88222204955,561429.5024312738,16500.978610514616,3848.0
